CaseID,ActivityID,CompleteTimestamp,Resource,ElapsedTime
173697,0,2011-10-01 08:11:08,112,0
173697,1,2011-10-01 08:11:09,112,1
173697,2,2011-10-01 08:11:46,112,37
173700,0,2011-10-01 08:15:39,112,0
173700,1,2011-10-01 08:15:40,112,1
173700,2,2011-10-01 08:16:21,112,41
173703,0,2011-10-01 09:45:25,112,0
173703,1,2011-10-01 09:45:25,112,0
173703,3,2011-10-01 09:46:18,112,53
173703,4,2011-10-01 09:46:18,112,0
173703,4,2011-10-01 11:37:46,10912,6688
173703,4,2011-10-01 11:40:24,10912,158
173703,4,2011-10-01 12:40:26,10912,3602
173703,5,2011-10-01 13:02:11,10912,1305
173703,4,2011-10-01 13:02:12,10912,1
173706,0,2011-10-01 09:45:37,112,0
173706,1,2011-10-01 09:45:37,112,0
173706,6,2011-10-01 09:46:18,112,41
173706,6,2011-10-01 10:15:43,10912,1765
173706,3,2011-10-01 10:16:48,10912,65
173706,4,2011-10-01 10:16:48,10912,0
173706,6,2011-10-01 10:16:49,10912,1
173706,4,2011-10-01 11:49:28,10912,5559
173706,4,2011-10-01 11:50:14,10912,46
173706,4,2011-10-01 11:50:21,10912,7
173706,4,2011-10-01 11:53:55,10912,214
173706,4,2011-10-01 14:50:26,0,10591
173706,2,2011-10-01 14:59:58,11111,572
173706,4,2011-10-01 15:00:02,0,4
173727,0,2011-10-01 12:08:46,112,0
173727,1,2011-10-01 12:08:46,112,0
173727,2,2011-10-01 12:09:30,112,44
173733,0,2011-10-01 12:39:34,112,0
173733,1,2011-10-01 12:39:34,112,0
173733,6,2011-10-01 12:40:14,112,40
173733,6,2011-10-01 14:54:11,10939,8037
173733,2,2011-10-01 14:54:53,10939,42
173733,6,2011-10-01 14:54:56,10939,3
173757,0,2011-10-01 15:02:58,112,0
173757,1,2011-10-01 15:02:58,112,0
173757,2,2011-10-01 15:03:36,112,38
173763,0,2011-10-01 16:09:22,112,0
173763,1,2011-10-01 16:09:23,112,1
173763,6,2011-10-01 16:09:35,112,12
173763,6,2011-10-01 16:36:40,10939,1625
173763,2,2011-10-01 16:38:40,10939,120
173763,6,2011-10-01 16:38:43,10939,3
173769,0,2011-10-01 16:34:46,112,0
173769,1,2011-10-01 16:34:46,112,0
173769,2,2011-10-01 16:35:23,112,37
173772,0,2011-10-01 16:39:55,112,0
173772,1,2011-10-01 16:39:55,112,0
173772,2,2011-10-01 16:40:31,112,36
173808,0,2011-10-01 21:24:58,112,0
173808,1,2011-10-01 21:24:59,112,1
173808,2,2011-10-01 21:25:39,112,40
173820,0,2011-10-02 01:39:06,112,0
173820,1,2011-10-02 01:39:07,112,1
173820,2,2011-10-02 01:39:50,112,43
173829,0,2011-10-02 09:54:34,112,0
173829,1,2011-10-02 09:54:34,112,0
173829,6,2011-10-02 09:55:28,112,54
173829,6,2011-10-03 09:17:30,0,84122
173829,6,2011-10-03 09:34:55,0,1045
173829,6,2011-10-03 09:37:25,10889,150
173829,3,2011-10-03 09:37:43,10889,18
173829,4,2011-10-03 09:37:44,10889,1
173829,6,2011-10-03 09:37:45,10889,1
173829,4,2011-10-03 09:38:04,10889,19
173829,2,2011-10-03 09:38:47,10889,43
173829,4,2011-10-03 09:38:50,10889,3
173832,0,2011-10-02 09:54:39,112,0
173832,1,2011-10-02 09:54:40,112,1
173832,2,2011-10-02 09:55:24,112,44
173838,0,2011-10-02 10:52:41,112,0
173838,1,2011-10-02 10:52:41,112,0
173838,2,2011-10-02 10:53:22,112,41
173850,0,2011-10-02 11:30:23,112,0
173850,1,2011-10-02 11:30:23,112,0
173850,2,2011-10-02 11:31:03,112,40
173853,0,2011-10-02 11:33:24,112,0
173853,1,2011-10-02 11:33:24,112,0
173853,2,2011-10-02 11:33:58,112,34
173856,0,2011-10-02 11:45:33,112,0
173856,1,2011-10-02 11:45:33,112,0
173856,6,2011-10-02 11:45:48,112,15
173856,6,2011-10-03 09:23:32,11001,77864
173856,6,2011-10-03 09:23:52,11001,20
173856,6,2011-10-03 09:23:56,11001,4
173856,2,2011-10-03 09:26:32,11001,156
173856,6,2011-10-03 09:26:39,11001,7
173862,0,2011-10-02 12:04:39,112,0
173862,1,2011-10-02 12:04:39,112,0
173862,6,2011-10-02 12:05:19,112,40
173862,6,2011-10-03 09:28:48,11001,77009
173862,2,2011-10-03 09:30:06,11001,78
173862,6,2011-10-03 09:30:10,11001,4
173865,0,2011-10-02 12:17:02,112,0
173865,1,2011-10-02 12:17:02,112,0
173865,2,2011-10-02 12:17:48,112,46
173874,0,2011-10-02 13:10:37,112,0
173874,1,2011-10-02 13:10:37,112,0
173874,2,2011-10-02 13:10:40,112,3
173877,0,2011-10-02 13:21:47,112,0
173877,1,2011-10-02 13:21:47,112,0
173877,2,2011-10-02 13:22:28,112,41
173883,0,2011-10-02 13:46:35,112,0
173883,1,2011-10-02 13:46:36,112,1
173883,2,2011-10-02 13:46:38,112,2
173886,0,2011-10-02 13:52:34,112,0
173886,1,2011-10-02 13:52:34,112,0
173886,2,2011-10-02 13:53:12,112,38
173889,0,2011-10-02 14:42:12,112,0
173889,1,2011-10-02 14:42:14,112,2
173889,6,2011-10-02 14:42:29,112,15
173889,6,2011-10-03 09:33:51,11001,67882
173889,2,2011-10-03 09:36:30,11001,159
173889,6,2011-10-03 09:36:33,11001,3
173892,0,2011-10-02 14:53:44,112,0
173892,1,2011-10-02 14:53:45,112,1
173892,2,2011-10-02 14:54:21,112,36
173895,0,2011-10-02 16:03:10,112,0
173895,1,2011-10-02 16:03:10,112,0
173895,2,2011-10-02 16:03:50,112,40
173901,0,2011-10-02 16:12:08,112,0
173901,1,2011-10-02 16:12:08,112,0
173901,6,2011-10-02 16:12:57,112,49
173901,6,2011-10-03 09:30:52,10889,62275
173901,2,2011-10-03 09:33:41,10889,169
173901,6,2011-10-03 09:33:46,10889,5
173904,0,2011-10-02 16:52:36,112,0
173904,1,2011-10-02 16:52:36,112,0
173904,6,2011-10-02 16:52:46,112,10
173904,6,2011-10-03 09:29:32,10889,59806
173904,2,2011-10-03 09:35:18,10889,346
173904,6,2011-10-03 09:35:23,10889,5
173907,0,2011-10-02 16:53:33,112,0
173907,1,2011-10-02 16:53:33,112,0
173907,2,2011-10-02 16:54:13,112,40
173910,0,2011-10-02 17:17:43,112,0
173910,1,2011-10-02 17:17:43,112,0
173910,2,2011-10-02 17:18:26,112,43
173916,0,2011-10-02 17:45:59,112,0
173916,1,2011-10-02 17:45:59,112,0
173916,7,2011-10-02 17:46:11,112,12
173916,7,2011-10-03 11:00:19,10188,62048
173916,7,2011-10-03 11:00:29,10188,10
173916,7,2011-10-03 11:01:06,10188,37
173916,7,2011-10-03 11:01:13,10188,7
173916,7,2011-10-03 11:19:01,10188,1068
173916,2,2011-10-03 11:19:27,10188,26
173916,7,2011-10-03 11:19:30,10188,3
173922,0,2011-10-02 17:56:36,112,0
173922,1,2011-10-02 17:56:36,112,0
173922,2,2011-10-02 17:57:17,112,41
173925,0,2011-10-02 18:00:06,112,0
173925,1,2011-10-02 18:00:06,112,0
173925,6,2011-10-02 18:00:16,112,10
173925,6,2011-10-03 09:24:16,10889,55440
173925,3,2011-10-03 09:28:16,10889,240
173925,4,2011-10-03 09:28:16,10889,0
173925,6,2011-10-03 09:28:17,10889,1
173925,4,2011-10-03 12:11:58,0,9821
173925,4,2011-10-03 12:21:41,0,583
173925,4,2011-10-03 12:21:52,0,11
173925,2,2011-10-03 12:23:39,11120,107
173925,4,2011-10-03 12:23:42,0,3
173931,0,2011-10-02 19:27:33,112,0
173931,1,2011-10-02 19:27:33,112,0
173931,2,2011-10-02 19:28:11,112,38
173934,0,2011-10-02 20:05:03,112,0
173934,1,2011-10-02 20:05:03,112,0
173934,6,2011-10-02 20:05:17,112,14
173934,6,2011-10-03 09:24:04,10889,47927
173934,2,2011-10-03 09:29:04,10889,300
173934,6,2011-10-03 09:29:09,10889,5
173952,0,2011-10-02 23:13:39,112,0
173952,1,2011-10-02 23:13:40,112,1
173952,2,2011-10-02 23:14:30,112,50
173961,0,2011-10-02 23:19:50,112,0
173961,1,2011-10-02 23:19:51,112,1
173961,6,2011-10-02 23:20:01,112,10
173961,6,2011-10-03 09:18:53,10889,35932
173961,2,2011-10-03 09:22:20,10889,207
173961,6,2011-10-03 09:23:39,10889,79
173964,0,2011-10-02 23:43:30,112,0
173964,1,2011-10-02 23:43:30,112,0
173964,6,2011-10-02 23:44:15,112,45
173964,6,2011-10-03 09:18:20,10889,34445
173964,3,2011-10-03 09:19:23,10889,63
173964,4,2011-10-03 09:19:23,10889,0
173964,6,2011-10-03 09:19:24,10889,1
173964,4,2011-10-03 11:21:33,0,7329
173964,5,2011-10-03 11:33:33,11120,720
173964,4,2011-10-03 11:33:34,0,1
173991,0,2011-10-03 10:07:17,112,0
173991,1,2011-10-03 10:07:17,112,0
173991,2,2011-10-03 10:07:55,112,38
173994,0,2011-10-03 10:33:48,112,0
173994,1,2011-10-03 10:33:49,112,1
173994,2,2011-10-03 10:34:40,112,51
174003,0,2011-10-03 10:58:38,112,0
174003,1,2011-10-03 10:58:38,112,0
174003,2,2011-10-03 10:59:21,112,43
174006,0,2011-10-03 10:59:25,112,0
174006,1,2011-10-03 10:59:25,112,0
174006,6,2011-10-03 10:59:41,112,16
174006,6,2011-10-03 12:08:08,11001,4107
174006,2,2011-10-03 12:10:43,11001,155
174006,6,2011-10-03 12:10:48,11001,5
174015,0,2011-10-03 11:19:52,112,0
174015,1,2011-10-03 11:19:52,112,0
174015,6,2011-10-03 11:20:03,112,11
174015,6,2011-10-03 12:10:57,11001,3054
174015,2,2011-10-03 12:12:54,11001,117
174015,6,2011-10-03 12:12:57,11001,3
174021,0,2011-10-03 11:33:52,112,0
174021,1,2011-10-03 11:33:53,112,1
174021,6,2011-10-03 11:34:03,112,10
174021,6,2011-10-03 12:13:03,11001,2340
174021,2,2011-10-03 12:14:44,11001,101
174021,6,2011-10-03 12:14:47,11001,3
174024,0,2011-10-03 11:48:34,112,0
174024,1,2011-10-03 11:48:34,112,0
174024,6,2011-10-03 11:49:19,112,45
174024,6,2011-10-03 12:14:50,11001,1531
174024,3,2011-10-03 12:16:25,11001,95
174024,4,2011-10-03 12:16:25,11001,0
174024,6,2011-10-03 12:16:26,11001,1
174024,4,2011-10-03 12:19:08,0,162
174024,4,2011-10-03 12:19:19,0,11
174024,4,2011-10-03 14:30:30,11180,7871
174024,4,2011-10-03 14:31:35,11180,65
174024,4,2011-10-03 14:41:12,11201,577
174024,2,2011-10-03 14:45:57,11201,285
174024,4,2011-10-03 14:46:01,11201,4
174027,0,2011-10-03 11:52:28,112,0
174027,1,2011-10-03 11:52:28,112,0
174027,6,2011-10-03 11:52:49,112,21
174027,6,2011-10-03 12:16:29,11001,1420
174027,2,2011-10-03 12:18:12,11001,103
174027,6,2011-10-03 12:18:16,11001,4
174033,0,2011-10-03 12:01:34,112,0
174033,1,2011-10-03 12:01:34,112,0
174033,2,2011-10-03 12:02:19,112,45
174048,0,2011-10-03 12:25:48,112,0
174048,1,2011-10-03 12:25:48,112,0
174048,3,2011-10-03 12:26:26,112,38
174048,4,2011-10-03 12:26:27,112,1
174048,4,2011-10-03 12:26:35,10779,8
174048,2,2011-10-03 12:27:50,10779,75
174048,4,2011-10-03 12:27:54,10779,4
174051,0,2011-10-03 12:27:32,112,0
174051,1,2011-10-03 12:27:33,112,1
174051,6,2011-10-03 12:27:44,112,11
174051,6,2011-10-03 13:08:44,11001,2460
174051,6,2011-10-03 13:13:35,11001,291
174051,6,2011-10-03 13:26:40,11001,785
174051,2,2011-10-03 13:29:29,11001,169
174051,6,2011-10-03 13:29:33,11001,4
174054,0,2011-10-03 12:35:21,112,0
174054,1,2011-10-03 12:35:21,112,0
174054,2,2011-10-03 12:36:00,112,39
174057,0,2011-10-03 12:47:46,112,0
174057,1,2011-10-03 12:47:46,112,0
174057,2,2011-10-03 12:48:19,112,33
174063,0,2011-10-03 12:59:32,112,0
174063,1,2011-10-03 12:59:32,112,0
174063,2,2011-10-03 13:00:16,112,44
174066,0,2011-10-03 13:01:28,112,0
174066,1,2011-10-03 13:01:28,112,0
174066,2,2011-10-03 13:02:25,112,57
174072,0,2011-10-03 13:18:01,112,0
174072,1,2011-10-03 13:18:01,112,0
174072,6,2011-10-03 13:18:12,112,11
174072,6,2011-10-03 13:31:24,11001,792
174072,2,2011-10-03 13:37:12,11001,348
174072,6,2011-10-03 13:37:16,11001,4
174075,0,2011-10-03 13:22:34,112,0
174075,1,2011-10-03 13:22:34,112,0
174075,6,2011-10-03 13:22:47,112,13
174075,6,2011-10-03 13:29:38,11001,411
174075,2,2011-10-03 13:31:11,11001,93
174075,6,2011-10-03 13:31:16,11001,5
174081,0,2011-10-03 13:26:11,112,0
174081,1,2011-10-03 13:26:11,112,0
174081,2,2011-10-03 13:26:50,112,39
174084,0,2011-10-03 13:26:26,112,0
174084,1,2011-10-03 13:26:27,112,1
174084,3,2011-10-03 13:27:03,112,36
174084,4,2011-10-03 13:27:04,112,1
174084,4,2011-10-03 13:27:14,10809,10
174084,4,2011-10-03 13:59:52,10809,1958
174084,4,2011-10-03 14:00:00,10809,8
174084,4,2011-10-03 14:30:11,10809,1811
174084,4,2011-10-03 14:30:34,10809,23
174084,8,2011-10-03 14:30:47,10809,13
174084,9,2011-10-03 14:31:15,10809,28
174084,10,2011-10-03 14:31:15,10809,0
174084,11,2011-10-03 14:31:17,10809,2
174084,12,2011-10-03 14:31:17,10809,0
174084,13,2011-10-03 14:31:18,10809,1
174084,4,2011-10-03 14:31:21,10809,3
174084,13,2011-10-03 14:31:44,10809,23
174084,14,2011-10-03 14:34:06,10809,142
174084,15,2011-10-03 14:34:07,10809,1
174084,13,2011-10-03 14:34:08,10809,1
174084,15,2011-10-03 14:34:24,10809,16
174084,16,2011-10-03 14:34:38,10809,14
174084,15,2011-10-03 14:34:41,10809,3
174084,16,2011-10-03 14:34:58,10809,17
174084,16,2011-10-03 14:36:30,10809,92
174084,16,2011-10-03 15:02:45,10809,1575
174084,16,2011-10-03 15:07:54,10809,309
174084,16,2011-10-03 15:47:54,10863,2400
174084,16,2011-10-03 15:59:56,10863,722
174084,16,2011-10-04 08:20:42,11049,58846
174084,16,2011-10-04 08:22:10,11049,88
174084,16,2011-10-04 09:30:54,10809,4124
174084,16,2011-10-04 09:47:36,10809,1002
174084,16,2011-10-04 09:52:54,10809,318
174084,16,2011-10-04 10:09:50,10809,1016
174084,16,2011-10-04 10:11:24,10809,94
174084,17,2011-10-04 10:17:26,10809,362
174084,18,2011-10-04 10:17:26,10809,0
174084,19,2011-10-04 10:17:26,10809,0
174084,20,2011-10-04 10:17:26,10809,0
174084,16,2011-10-04 10:17:33,10809,7
174102,0,2011-10-03 14:22:13,112,0
174102,1,2011-10-03 14:22:15,112,2
174102,3,2011-10-03 14:22:44,112,29
174102,4,2011-10-03 14:22:45,112,1
174102,4,2011-10-03 16:01:28,0,5923
